,0,1,2,3,4,5,6,7,8,9,10,11,12,13
24,40.0,323.0,55.0,1559.0,125.0,61.0,32.0,4.0,12.0,176.0,313.0,25.0,6.0,13.0
25,2620.0,2997.0,283.0,51.0,136.0,208.0,21.0,3.0,14.0,662.0,819.0,28.0,11.0,100.0
26,1218.0,2681.0,29.0,35.0,114.0,108.0,9.0,7.0,16.0,49.0,900.0,42.0,21.0,218.0
27,15.0,6.0,7.0,28.0,108.0,21.0,23.0,723.0,40.0,3382.0,25.0,17.0,3.0,14.0
28,4075.0,3177.0,29.0,45.0,118.0,30.0,18.0,6.0,24.0,225.0,270.0,16.0,7.0,231.0
29,3924.0,3431.0,24.0,55.0,89.0,28.0,12.0,0.0,10.0,490.0,108.0,24.0,3.0,83.0
30,42.0,42.0,21.0,39.0,129.0,1046.0,442.0,5165.0,27.0,15154.0,59.0,50.0,76.0,34.0
31,1935.0,2378.0,20.0,38.0,120.0,39.0,14.0,2.0,9.0,765.0,38.0,15.0,4.0,110.0
32,973.0,3050.0,51.0,37.0,129.0,62.0,11.0,4.0,34.0,49.0,628.0,18.0,2.0,465.0
33,2725.0,1600.0,25.0,25.0,89.0,28.0,11.0,2.0,121.0,768.0,40.0,13.0,11.0,43.0
34,1434.0,21.0,5908.0,27.0,96.0,20.0,19.0,7.0,16.0,3131.0,28.0,29.0,10.0,142.0
35,9.0,212.0,16.0,423.0,92.0,48.0,8.0,5.0,6.0,73.0,137.0,7.0,7.0,3.0
36,6.0,191.0,8.0,596.0,90.0,14.0,9.0,1.0,5.0,41.0,245.0,11.0,4.0,15.0
37,48.0,18.0,29.0,25.0,1050.0,7494.0,822.0,5.0,17.0,5461.0,256.0,29.0,30.0,43.0
38,2291.0,2397.0,26.0,45.0,96.0,54.0,17.0,2.0,6.0,1826.0,33.0,14.0,9.0,140.0
39,3130.0,5182.0,39.0,60.0,155.0,188.0,19.0,7.0,114.0,42.0,1174.0,32.0,10.0,590.0
40,2768.0,2504.0,23.0,49.0,122.0,48.0,22.0,7.0,13.0,1094.0,27.0,19.0,3.0,55.0
41,25.0,152.0,17.0,767.0,123.0,130.0,23.0,1.0,8.0,103.0,236.0,13.0,7.0,6.0
42,2819.0,2527.0,27.0,37.0,76.0,25.0,14.0,2.0,179.0,1976.0,23.0,15.0,8.0,30.0
43,2874.0,3790.0,33.0,48.0,115.0,76.0,13.0,4.0,45.0,33.0,1549.0,88.0,48.0,120.0
44,23.0,497.0,34.0,1368.0,102.0,47.0,21.0,4.0,17.0,1413.0,34.0,14.0,8.0,13.0
45,21.0,150.0,31.0,1261.0,132.0,23.0,19.0,8.0,5.0,778.0,53.0,11.0,2.0,9.0
46,14.0,11.0,12.0,13.0,95.0,855.0,173.0,2.0,10.0,2918.0,16.0,16.0,51.0,8.0
47,96.0,401.0,54.0,1219.0,106.0,58.0,44.0,2.0,32.0,72.0,654.0,71.0,7.0,6.0
48,2798.0,3603.0,44.0,1654.0,108.0,1091.0,316.0,7.0,12.0,4787.0,552.0,32.0,40.0,287.0
49,3321.0,2997.0,22.0,27.0,92.0,33.0,17.0,4.0,12.0,2083.0,34.0,29.0,8.0,95.0
50,1570.0,26.0,7388.0,52.0,135.0,28.0,15.0,7.0,13.0,241.0,206.0,216.0,46.0,28.0
51,3592.0,5664.0,36.0,52.0,136.0,29.0,29.0,2.0,74.0,1445.0,883.0,42.0,18.0,146.0
52,2537.0,4133.0,29.0,56.0,95.0,29.0,18.0,3.0,105.0,85.0,1215.0,84.0,9.0,438.0
53,8.0,21.0,13.0,19.0,111.0,18.0,25.0,702.0,156.0,4097.0,19.0,78.0,16.0,14.0
54,83.0,281.0,32.0,1020.0,112.0,59.0,12.0,1.0,30.0,60.0,531.0,21.0,7.0,19.0
55,23.0,8.0,21.0,34.0,126.0,1557.0,531.0,7.0,9.0,6558.0,19.0,34.0,95.0,21.0
56,15.0,18.0,635.0,15.0,92.0,738.0,374.0,5.0,10.0,4878.0,19.0,16.0,68.0,12.0
57,13.0,10.0,8.0,17.0,115.0,20.0,14.0,345.0,13.0,2447.0,11.0,12.0,4.0,7.0
58,2444.0,2355.0,30.0,44.0,103.0,59.0,24.0,3.0,16.0,1360.0,36.0,34.0,14.0,113.0
59,3060.0,2672.0,29.0,40.0,88.0,28.0,15.0,3.0,5.0,821.0,56.0,24.0,5.0,81.0
60,1207.0,11.0,1831.0,23.0,83.0,25.0,30.0,6.0,8.0,91.0,548.0,16.0,9.0,194.0
61,22.0,578.0,12.0,645.0,78.0,12.0,19.0,4.0,5.0,131.0,205.0,8.0,5.0,12.0
62,13.0,196.0,12.0,20.0,106.0,1258.0,14.0,5.0,17.0,3216.0,14.0,20.0,7.0,12.0
63,10.0,69.0,8.0,941.0,127.0,69.0,59.0,0.0,13.0,46.0,480.0,23.0,9.0,12.0
64,162.0,526.0,32.0,177.0,89.0,8.0,36.0,0.0,9.0,197.0,142.0,22.0,6.0,14.0
65,69.0,1255.0,32.0,1770.0,123.0,146.0,52.0,9.0,10.0,784.0,293.0,13.0,7.0,13.0
66,22.0,11.0,11.0,17.0,79.0,1419.0,236.0,6.0,5.0,3895.0,13.0,27.0,42.0,10.0
67,786.0,10.0,1353.0,19.0,104.0,16.0,24.0,1.0,18.0,2613.0,34.0,22.0,6.0,135.0
68,1856.0,3640.0,26.0,63.0,127.0,31.0,15.0,9.0,70.0,52.0,713.0,16.0,7.0,704.0
69,1007.0,19.0,6447.0,28.0,123.0,26.0,23.0,2.0,8.0,3181.0,19.0,17.0,13.0,143.0
70,3021.0,3296.0,32.0,38.0,74.0,75.0,24.0,9.0,26.0,1287.0,22.0,18.0,6.0,231.0
71,3343.0,1938.0,28.0,35.0,79.0,19.0,11.0,4.0,15.0,1575.0,29.0,20.0,8.0,106.0
72,25.0,433.0,19.0,1137.0,111.0,46.0,19.0,3.0,17.0,47.0,516.0,16.0,5.0,9.0
73,2195.0,2931.0,24.0,45.0,93.0,28.0,15.0,4.0,37.0,1290.0,41.0,22.0,13.0,109.0
74,1574.0,2871.0,20.0,38.0,91.0,20.0,20.0,3.0,10.0,57.0,415.0,115.0,3.0,64.0
75,13.0,155.0,19.0,1089.0,116.0,63.0,12.0,3.0,23.0,310.0,118.0,10.0,5.0,5.0
76,2018.0,2781.0,37.0,34.0,313.0,3554.0,18.0,6.0,14.0,847.0,206.0,15.0,14.0,36.0
77,3343.0,3479.0,27.0,36.0,106.0,49.0,18.0,2.0,39.0,310.0,284.0,16.0,4.0,126.0
78,2238.0,20.0,1393.0,24.0,86.0,21.0,9.0,6.0,14.0,313.0,268.0,12.0,8.0,271.0
79,26.0,25.0,83.0,24.0,133.0,492.0,394.0,7.0,32.0,3413.0,23.0,25.0,13.0,17.0
80,3052.0,4572.0,40.0,54.0,107.0,28.0,17.0,5.0,92.0,59.0,988.0,38.0,6.0,399.0
81,24.0,4.0,23.0,22.0,100.0,28.0,31.0,764.0,82.0,3769.0,33.0,21.0,8.0,23.0
82,13.0,224.0,7.0,1636.0,163.0,47.0,14.0,1.0,73.0,44.0,466.0,10.0,4.0,7.0
83,17.0,24.0,15.0,33.0,94.0,1129.0,317.0,3.0,12.0,3372.0,13.0,24.0,38.0,22.0
84,2514.0,217.0,3404.0,1027.0,122.0,30.0,25.0,11.0,49.0,2542.0,505.0,29.0,29.0,98.0
85,25.0,114.0,16.0,567.0,105.0,21.0,18.0,3.0,4.0,164.0,198.0,14.0,2.0,11.0
86,2730.0,3410.0,43.0,42.0,84.0,31.0,14.0,0.0,10.0,2673.0,25.0,23.0,10.0,66.0
87,2783.0,2779.0,19.0,32.0,118.0,37.0,14.0,4.0,197.0,755.0,68.0,10.0,17.0,18.0
88,31.0,263.0,16.0,1330.0,115.0,36.0,15.0,2.0,35.0,67.0,386.0,13.0,15.0,15.0
89,3747.0,2944.0,29.0,33.0,123.0,26.0,14.0,2.0,13.0,2094.0,29.0,23.0,4.0,167.0
90,24.0,13.0,5.0,37.0,119.0,33.0,18.0,917.0,18.0,4766.0,25.0,25.0,14.0,19.0
91,64.0,59.0,54.0,31.0,107.0,41.0,63.0,1433.0,116.0,5115.0,28.0,50.0,44.0,26.0
92,1464.0,4016.0,36.0,44.0,88.0,25.0,24.0,3.0,63.0,52.0,631.0,28.0,7.0,151.0
93,1513.0,4051.0,31.0,42.0,138.0,138.0,19.0,6.0,39.0,51.0,1254.0,111.0,15.0,256.0
94,2471.0,2373.0,17.0,56.0,88.0,35.0,14.0,2.0,13.0,44.0,1438.0,27.0,6.0,55.0
95,55.0,19.0,74.0,21.0,107.0,39.0,20.0,297.0,11.0,4168.0,27.0,17.0,14.0,8.0
96,1928.0,3385.0,33.0,48.0,124.0,68.0,13.0,3.0,65.0,44.0,972.0,23.0,2.0,433.0
97,3129.0,51.0,5859.0,24.0,133.0,29.0,25.0,9.0,18.0,85.0,1921.0,54.0,107.0,15.0
98,3208.0,5345.0,50.0,71.0,200.0,163.0,25.0,2.0,18.0,80.0,1442.0,61.0,12.0,304.0
99,3458.0,4280.0,34.0,44.0,112.0,44.0,15.0,3.0,21.0,61.0,1372.0,53.0,10.0,25.0
100,25.0,13.0,12.0,18.0,117.0,738.0,280.0,4.0,10.0,3663.0,21.0,18.0,15.0,12.0
101,3928.0,2728.0,33.0,40.0,103.0,27.0,19.0,2.0,8.0,1700.0,36.0,18.0,6.0,176.0
102,17.0,386.0,47.0,1090.0,123.0,20.0,16.0,4.0,96.0,332.0,181.0,16.0,5.0,10.0
103,15.0,552.0,50.0,1762.0,130.0,82.0,141.0,3.0,28.0,87.0,667.0,10.0,5.0,14.0
104,140.0,643.0,62.0,2259.0,408.0,90.0,32.0,7.0,16.0,934.0,319.0,24.0,25.0,11.0
105,74.0,42.0,34.0,45.0,2421.0,9709.0,54.0,1096.0,93.0,5351.0,440.0,41.0,13.0,43.0
106,3176.0,3795.0,50.0,46.0,119.0,63.0,16.0,3.0,9.0,3283.0,26.0,22.0,15.0,338.0
107,2575.0,63.0,7233.0,49.0,139.0,29.0,46.0,6.0,14.0,4851.0,40.0,29.0,23.0,169.0
108,24.0,505.0,20.0,1239.0,116.0,22.0,6.0,5.0,33.0,612.0,257.0,14.0,3.0,6.0
109,20.0,20.0,28.0,34.0,116.0,34.0,35.0,1022.0,15.0,2894.0,22.0,30.0,16.0,21.0
110,24.0,178.0,35.0,601.0,130.0,27.0,25.0,1.0,12.0,162.0,145.0,16.0,3.0,6.0
111,63.0,317.0,75.0,637.0,122.0,65.0,20.0,5.0,7.0,491.0,87.0,17.0,6.0,11.0
112,1097.0,29.0,2751.0,16.0,129.0,33.0,950.0,3.0,16.0,149.0,917.0,39.0,15.0,178.0
113,2924.0,3221.0,28.0,44.0,129.0,77.0,14.0,10.0,72.0,51.0,1678.0,144.0,50.0,85.0
114,16.0,12.0,211.0,35.0,113.0,1952.0,467.0,1.0,18.0,5557.0,17.0,15.0,75.0,20.0
115,36.0,25.0,22.0,31.0,157.0,4248.0,1465.0,9.0,26.0,18030.0,36.0,63.0,160.0,29.0
116,27.0,17.0,32.0,21.0,95.0,1269.0,724.0,7.0,19.0,4897.0,24.0,28.0,65.0,19.0
117,1397.0,2406.0,25.0,49.0,112.0,23.0,12.0,4.0,15.0,40.0,1032.0,142.0,14.0,144.0
118,1726.0,2913.0,32.0,40.0,108.0,35.0,12.0,5.0,56.0,75.0,602.0,44.0,13.0,197.0
119,2114.0,29.0,10279.0,54.0,184.0,38.0,33.0,6.0,21.0,4067.0,39.0,47.0,15.0,259.0
120,28.0,22.0,21.0,33.0,137.0,38.0,34.0,1451.0,39.0,6881.0,35.0,51.0,17.0,21.0
121,4276.0,3399.0,5305.0,1840.0,138.0,62.0,42.0,7.0,55.0,4288.0,1870.0,179.0,21.0,621.0
122,197.0,10.0,96.0,8.0,71.0,590.0,173.0,7.0,9.0,3044.0,40.0,16.0,36.0,18.0
123,1641.0,41.0,5535.0,35.0,93.0,32.0,40.0,6.0,34.0,3427.0,27.0,31.0,15.0,264.0
124,3609.0,3604.0,28.0,42.0,113.0,50.0,24.0,3.0,34.0,86.0,970.0,21.0,8.0,230.0
125,18.0,23.0,32.0,20.0,116.0,1645.0,244.0,2.0,11.0,4502.0,20.0,24.0,23.0,16.0
126,880.0,20.0,3004.0,22.0,124.0,34.0,15.0,1.0,23.0,171.0,383.0,39.0,10.0,228.0
127,64.0,625.0,13.0,55.0,118.0,87.0,10.0,3.0,8.0,202.0,289.0,15.0,3.0,9.0
128,5103.0,3702.0,31.0,53.0,108.0,48.0,17.0,3.0,19.0,45.0,1302.0,261.0,138.0,39.0
129,1310.0,10.0,3011.0,21.0,109.0,48.0,159.0,7.0,24.0,160.0,541.0,54.0,6.0,224.0
130,19.0,21.0,8.0,14.0,86.0,802.0,336.0,3.0,16.0,3671.0,13.0,31.0,68.0,12.0
131,29.0,446.0,45.0,1120.0,146.0,34.0,9.0,4.0,36.0,57.0,542.0,29.0,4.0,19.0
132,11.0,301.0,17.0,1110.0,102.0,18.0,17.0,2.0,44.0,551.0,54.0,20.0,5.0,8.0
133,21.0,12.0,15.0,21.0,91.0,33.0,22.0,777.0,37.0,3364.0,18.0,22.0,15.0,7.0
134,2284.0,26.0,9098.0,31.0,116.0,42.0,33.0,3.0,13.0,438.0,264.0,115.0,54.0,21.0
135,2623.0,2703.0,19.0,42.0,96.0,46.0,13.0,2.0,10.0,2079.0,26.0,22.0,7.0,93.0
136,1372.0,19.0,5873.0,26.0,100.0,42.0,18.0,7.0,14.0,2029.0,35.0,27.0,6.0,104.0
137,1795.0,2032.0,25.0,24.0,87.0,21.0,10.0,13.0,6.0,1228.0,18.0,16.0,9.0,105.0
138,3607.0,3823.0,48.0,41.0,104.0,31.0,13.0,4.0,48.0,99.0,726.0,12.0,5.0,78.0
139,2137.0,2328.0,14.0,47.0,117.0,46.0,14.0,6.0,13.0,2069.0,35.0,19.0,9.0,58.0
140,20.0,15.0,21.0,11.0,86.0,19.0,20.0,664.0,92.0,3053.0,20.0,13.0,9.0,6.0
141,20.0,12.0,8.0,14.0,87.0,1156.0,363.0,5.0,12.0,3843.0,18.0,26.0,43.0,11.0
142,3541.0,32.0,7414.0,30.0,111.0,64.0,30.0,5.0,17.0,3328.0,51.0,27.0,18.0,43.0
143,24.0,487.0,17.0,1928.0,116.0,109.0,15.0,1.0,18.0,318.0,280.0,12.0,5.0,13.0
144,20.0,179.0,30.0,1060.0,115.0,82.0,7.0,1.0,5.0,74.0,291.0,20.0,5.0,10.0
145,1867.0,1720.0,16.0,33.0,109.0,48.0,12.0,3.0,12.0,1289.0,17.0,22.0,7.0,42.0
146,1036.0,24.0,1590.0,23.0,118.0,17.0,8.0,6.0,13.0,2042.0,27.0,52.0,23.0,118.0
147,2499.0,4047.0,49.0,55.0,104.0,61.0,20.0,6.0,95.0,105.0,498.0,15.0,8.0,382.0
148,106.0,575.0,21.0,1808.0,112.0,50.0,16.0,2.0,30.0,297.0,456.0,25.0,6.0,12.0
149,1716.0,24.0,6803.0,35.0,113.0,24.0,21.0,7.0,10.0,3633.0,21.0,48.0,11.0,106.0
150,17.0,417.0,29.0,1289.0,130.0,27.0,168.0,12.0,61.0,65.0,452.0,68.0,5.0,12.0
151,23.0,15.0,7.0,32.0,124.0,15.0,26.0,547.0,9.0,3028.0,14.0,23.0,12.0,6.0
152,3510.0,3246.0,32.0,51.0,150.0,103.0,23.0,3.0,18.0,1634.0,53.0,20.0,14.0,176.0
153,2732.0,2851.0,29.0,36.0,104.0,24.0,26.0,5.0,6.0,2794.0,18.0,25.0,13.0,250.0
154,8.0,15.0,20.0,23.0,111.0,1442.0,400.0,9.0,12.0,5138.0,17.0,18.0,65.0,17.0
155,1514.0,61.0,4664.0,29.0,90.0,22.0,17.0,5.0,10.0,2459.0,18.0,28.0,8.0,65.0
156,17.0,502.0,17.0,1675.0,149.0,55.0,17.0,4.0,19.0,65.0,385.0,50.0,3.0,11.0
157,3554.0,2507.0,26.0,51.0,100.0,25.0,22.0,9.0,8.0,2372.0,27.0,29.0,12.0,143.0
158,13.0,16.0,7.0,23.0,129.0,28.0,15.0,915.0,45.0,2404.0,28.0,25.0,7.0,14.0
159,35.0,18.0,9.0,30.0,168.0,1032.0,507.0,7.0,16.0,3887.0,26.0,19.0,101.0,21.0
160,53.0,616.0,62.0,1546.0,153.0,116.0,25.0,3.0,54.0,1286.0,304.0,47.0,19.0,16.0
161,3317.0,2743.0,30.0,35.0,119.0,73.0,19.0,4.0,9.0,911.0,71.0,23.0,7.0,193.0
162,62.0,177.0,42.0,1138.0,132.0,40.0,22.0,4.0,13.0,91.0,559.0,30.0,8.0,6.0
163,19.0,595.0,19.0,1736.0,103.0,40.0,21.0,1.0,7.0,139.0,570.0,12.0,7.0,5.0
164,1746.0,33.0,8818.0,40.0,117.0,40.0,24.0,5.0,22.0,3792.0,33.0,37.0,16.0,209.0
165,3147.0,2109.0,20.0,35.0,103.0,64.0,20.0,4.0,11.0,1093.0,31.0,16.0,4.0,71.0
166,1043.0,29.0,1905.0,16.0,138.0,29.0,234.0,6.0,15.0,98.0,592.0,23.0,13.0,397.0
167,9.0,18.0,18.0,17.0,86.0,21.0,13.0,658.0,8.0,2115.0,13.0,13.0,7.0,9.0
168,12.0,294.0,7.0,742.0,109.0,26.0,18.0,5.0,47.0,1489.0,24.0,11.0,7.0,14.0
169,12.0,362.0,7.0,1403.0,104.0,30.0,23.0,6.0,10.0,55.0,239.0,16.0,6.0,7.0
170,1481.0,22.0,3562.0,21.0,113.0,28.0,177.0,4.0,9.0,61.0,633.0,17.0,10.0,245.0
171,1667.0,23.0,6274.0,34.0,112.0,45.0,25.0,3.0,21.0,456.0,256.0,37.0,82.0,95.0
172,2698.0,3488.0,46.0,40.0,86.0,24.0,13.0,0.0,127.0,48.0,1218.0,20.0,5.0,116.0
173,45.0,28.0,44.0,16.0,104.0,1654.0,820.0,5.0,22.0,8415.0,17.0,24.0,68.0,12.0
174,76.0,27.0,25.0,32.0,172.0,61.0,20.0,563.0,48.0,3046.0,30.0,32.0,16.0,19.0
175,29.0,19.0,9.0,32.0,104.0,24.0,19.0,514.0,13.0,3081.0,18.0,13.0,5.0,8.0
176,21.0,706.0,18.0,1400.0,115.0,36.0,16.0,8.0,28.0,77.0,411.0,19.0,10.0,20.0
177,1016.0,3611.0,27.0,36.0,72.0,19.0,12.0,9.0,38.0,48.0,860.0,301.0,62.0,33.0
178,2839.0,2581.0,34.0,35.0,128.0,37.0,19.0,6.0,5.0,3186.0,21.0,21.0,4.0,91.0
179,3024.0,36.0,9257.0,28.0,156.0,82.0,37.0,2.0,22.0,3745.0,66.0,109.0,131.0,27.0
180,2746.0,1614.0,13.0,26.0,116.0,15.0,15.0,3.0,64.0,160.0,189.0,16.0,65.0,19.0
181,21.0,305.0,19.0,1724.0,151.0,51.0,16.0,7.0,16.0,48.0,617.0,15.0,3.0,9.0
182,16.0,448.0,7.0,1150.0,134.0,56.0,9.0,4.0,32.0,56.0,479.0,30.0,4.0,4.0
183,852.0,41.0,3371.0,25.0,111.0,56.0,13.0,11.0,18.0,3432.0,18.0,132.0,8.0,73.0
184,3233.0,2496.0,34.0,47.0,123.0,77.0,19.0,4.0,17.0,3031.0,31.0,31.0,8.0,301.0
185,41.0,355.0,10.0,1020.0,110.0,63.0,21.0,3.0,44.0,38.0,375.0,44.0,4.0,10.0
186,1026.0,2211.0,41.0,30.0,95.0,18.0,12.0,4.0,29.0,43.0,649.0,43.0,10.0,332.0
187,1903.0,3185.0,27.0,37.0,107.0,19.0,11.0,4.0,79.0,42.0,699.0,41.0,11.0,235.0
188,3864.0,30.0,5832.0,36.0,131.0,84.0,15.0,13.0,18.0,2187.0,745.0,60.0,47.0,236.0
189,5568.0,29.0,1531.0,32.0,112.0,37.0,9.0,3.0,11.0,109.0,638.0,70.0,9.0,167.0
190,42.0,20.0,6.0,19.0,95.0,773.0,225.0,0.0,11.0,2336.0,22.0,19.0,35.0,6.0
191,84.0,432.0,23.0,1529.0,90.0,25.0,13.0,4.0,21.0,41.0,692.0,14.0,6.0,4.0
192,3366.0,35.0,8498.0,29.0,144.0,30.0,33.0,6.0,24.0,3443.0,34.0,34.0,11.0,108.0
193,2345.0,2079.0,36.0,23.0,77.0,27.0,25.0,3.0,73.0,299.0,147.0,14.0,6.0,52.0
194,40.0,954.0,38.0,1119.0,125.0,36.0,46.0,1.0,10.0,207.0,543.0,18.0,1.0,6.0
195,1475.0,1832.0,14.0,27.0,49.0,277.0,130.0,4.0,208.0,1364.0,710.0,58.0,28.0,15.0
196,10.0,8.0,10.0,26.0,111.0,29.0,24.0,1073.0,19.0,5758.0,26.0,25.0,10.0,17.0
197,2768.0,31.0,4241.0,39.0,759.0,3932.0,733.0,12.0,40.0,4434.0,833.0,91.0,64.0,148.0
198,3681.0,57.0,11241.0,55.0,260.0,73.0,44.0,8.0,50.0,262.0,1164.0,117.0,25.0,556.0
199,3483.0,2176.0,17.0,38.0,124.0,35.0,18.0,8.0,18.0,2119.0,30.0,22.0,8.0,52.0
200,22.0,13.0,20.0,17.0,87.0,1524.0,528.0,7.0,12.0,6723.0,34.0,23.0,45.0,20.0
201,2115.0,2519.0,40.0,45.0,99.0,46.0,14.0,0.0,15.0,1782.0,18.0,8.0,7.0,120.0
202,1209.0,2244.0,18.0,48.0,124.0,39.0,7.0,6.0,23.0,44.0,756.0,111.0,6.0,225.0
203,74.0,268.0,13.0,1308.0,112.0,120.0,334.0,1.0,27.0,393.0,277.0,11.0,3.0,8.0
204,2595.0,20.0,8235.0,19.0,128.0,38.0,18.0,2.0,17.0,81.0,979.0,50.0,49.0,15.0
205,828.0,2921.0,23.0,44.0,98.0,28.0,16.0,4.0,16.0,43.0,857.0,88.0,11.0,119.0
206,1569.0,1723.0,98.0,26.0,106.0,48.0,14.0,2.0,9.0,92.0,485.0,89.0,87.0,16.0
207,1635.0,4565.0,50.0,41.0,113.0,21.0,19.0,5.0,38.0,49.0,1515.0,104.0,6.0,335.0
208,14.0,221.0,19.0,1550.0,113.0,31.0,228.0,3.0,17.0,110.0,364.0,30.0,11.0,9.0
209,1054.0,2137.0,25.0,32.0,106.0,44.0,24.0,3.0,11.0,59.0,961.0,9.0,13.0,43.0
210,68.0,475.0,48.0,995.0,82.0,110.0,19.0,4.0,9.0,316.0,206.0,16.0,10.0,12.0
211,2191.0,2960.0,24.0,39.0,116.0,59.0,12.0,5.0,37.0,75.0,1127.0,48.0,10.0,290.0
212,22.0,496.0,10.0,969.0,88.0,42.0,7.0,2.0,6.0,121.0,225.0,10.0,9.0,9.0
213,29.0,320.0,12.0,1211.0,95.0,41.0,11.0,1.0,9.0,216.0,276.0,12.0,4.0,12.0
214,1069.0,3159.0,21.0,47.0,104.0,48.0,15.0,4.0,96.0,43.0,668.0,60.0,10.0,241.0
215,1507.0,22.0,3394.0,18.0,80.0,30.0,111.0,7.0,13.0,121.0,456.0,20.0,8.0,259.0
216,26.0,11.0,89.0,977.0,132.0,22.0,57.0,2.0,71.0,166.0,347.0,99.0,7.0,44.0
217,1061.0,1284.0,78.0,35.0,107.0,26.0,16.0,7.0,8.0,66.0,1232.0,213.0,35.0,32.0
218,2794.0,2377.0,31.0,51.0,87.0,22.0,16.0,1.0,11.0,1510.0,21.0,18.0,6.0,164.0
219,4684.0,3951.0,41.0,58.0,95.0,30.0,25.0,4.0,15.0,64.0,1546.0,89.0,10.0,29.0
220,38.0,34.0,4.0,19.0,107.0,975.0,387.0,4.0,15.0,2960.0,18.0,16.0,46.0,10.0
221,54.0,706.0,38.0,1413.0,224.0,70.0,32.0,11.0,20.0,273.0,485.0,44.0,11.0,18.0
222,20.0,327.0,16.0,1886.0,120.0,56.0,167.0,6.0,17.0,194.0,346.0,29.0,6.0,5.0
223,23.0,26.0,16.0,25.0,113.0,20.0,22.0,502.0,106.0,4391.0,29.0,29.0,10.0,12.0
224,3271.0,2505.0,23.0,42.0,110.0,39.0,15.0,6.0,21.0,3252.0,17.0,19.0,6.0,148.0
225,34.0,15.0,23.0,19.0,102.0,1093.0,320.0,5.0,12.0,4655.0,32.0,15.0,47.0,9.0
226,9.0,8.0,12.0,16.0,111.0,32.0,20.0,530.0,5.0,2644.0,10.0,29.0,5.0,10.0
227,46.0,194.0,45.0,1096.0,118.0,43.0,29.0,6.0,29.0,61.0,447.0,6.0,4.0,8.0
228,19.0,12.0,569.0,30.0,87.0,1047.0,268.0,5.0,14.0,6348.0,22.0,21.0,56.0,11.0
229,3466.0,3338.0,27.0,59.0,91.0,45.0,20.0,8.0,13.0,68.0,1363.0,313.0,17.0,101.0
230,2477.0,2834.0,25.0,32.0,77.0,26.0,8.0,4.0,9.0,85.0,560.0,123.0,44.0,97.0
231,1567.0,16.0,5404.0,34.0,110.0,20.0,18.0,1.0,8.0,54.0,1031.0,84.0,6.0,230.0
