,0
813,3
814,3
815,1
816,4
817,1
818,6
819,3
820,4
821,1
822,0
823,3
824,1
825,3
826,4
827,0
828,4
829,6
830,4
831,1
832,1
833,1
834,0
835,6
836,3
837,3
838,3
839,6
840,6
841,1
842,0
843,6
844,4
845,1
846,4
847,3
848,4
849,6
850,0
851,3
852,1
853,3
854,4
855,4
856,3
857,6
858,6
859,6
860,0
861,3
862,1
863,4
864,2
865,3
866,1
867,3
868,3
869,3
870,1
871,3
872,6
873,1
874,3
875,1
876,3
877,3
878,3
879,1
880,6
881,3
882,0
883,3
884,4
885,3
886,1
887,0
888,3
889,1
890,0
891,6
892,5
893,3
894,1
895,1
896,3
897,0
898,4
899,3
900,4
901,0
902,0
903,6
904,3
905,3
906,0
907,3
908,0
909,4
910,3
911,3
912,1
913,1
914,3
915,1
916,0
917,3
918,3
919,6
920,3
921,0
922,3
923,3
924,3
925,3
926,4
927,3
928,3
929,3
930,4
931,3
932,6
933,1
934,3
935,3
936,3
937,3
938,0
939,1
940,6
941,1
942,3
943,4
944,3
945,3
946,3
947,4
948,1
949,4
950,3
951,3
952,3
953,3
954,4
955,0
956,0
957,0
958,3
959,3
960,0
961,3
962,6
963,3
964,1
965,3
966,4
967,3
968,3
969,3
970,3
971,4
972,4
973,3
974,0
975,3
976,0
977,4
978,2
979,3
980,6
981,4
982,6
983,6
984,3
985,4
986,3
987,4
988,3
989,3
990,3
991,0
992,3
993,1
994,1
995,1
996,3
997,6
998,3
999,1
1000,3
1001,4
1002,4
1003,4
1004,3
1005,4
1006,1
1007,0
1008,6
1009,1
1010,0
1011,3
1012,0
1013,1
1014,4
1015,3
1016,6
1017,1
1018,3
1019,1
1020,3
1021,3
1022,3
1023,4
1024,1
1025,4
1026,6
1027,0
1028,3
1029,6
1030,1
1031,4
1032,3
1033,0
1034,1
1035,1
1036,3
1037,0
1038,1
1039,4
1040,4
1041,6
1042,3
1043,6
1044,1
1045,4
1046,4
1047,4
1048,3
1049,3
1050,3
1051,6
1052,3
1053,1
1054,4
1055,6
1056,1
1057,4
1058,1
1059,3
1060,1
1061,1
1062,3
1063,3
1064,6
1065,3
1066,4
1067,0
1068,3
1069,4
1070,0
1071,3
1072,2
1073,4
1074,3
1075,6
1076,1
1077,3
1078,3
1079,1
1080,3
1081,4
1082,1
1083,4
1084,3
1085,6
1086,6
1087,1
1088,3
1089,1
1090,4
1091,1
1092,0
1093,3
1094,6
1095,1
1096,4
1097,3
1098,3
1099,3
1100,3
1101,3
1102,1
1103,6
1104,3
1105,6
1106,3
1107,6
1108,1
1109,0
1110,0
1111,4
1112,6
1113,1
1114,0
1115,1
1116,6
1117,3
1118,4
1119,3
1120,1
1121,3
1122,3
1123,3
1124,3
1125,3
1126,3
1127,0
1128,4
1129,1
1130,3
1131,3
1132,1
1133,3
1134,6
1135,4
1136,5
1137,1
1138,3
1139,1
1140,0
1141,3
1142,1
1143,0
1144,1
1145,3
1146,1
1147,1
1148,3
1149,4
1150,0
1151,6
1152,3
1153,3
1154,3
1155,0
1156,1
1157,6
1158,4
1159,4
1160,3
1161,6
1162,3
1163,3
1164,4
1165,3
1166,4
1167,3
1168,3
1169,1
1170,3
1171,6
1172,1
1173,3
1174,3
1175,4
1176,6
1177,4
1178,3
1179,1
1180,3
1181,3
1182,3
1183,3
1184,0
1185,3
1186,4
1187,6
1188,3
1189,6
1190,3
1191,0
1192,6
1193,6
1194,3
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,3
1202,4
1203,4
1204,3
1205,0
1206,1
1207,6
1208,3
1209,3
1210,4
1211,3
1212,3
1213,3
1214,3
1215,0
1216,1
1217,4
1218,0
1219,3
1220,4
1221,3
1222,4
1223,4
1224,4
1225,6
1226,3
1227,6
1228,0
1229,6
1230,0
1231,6
1232,1
1233,1
1234,3
1235,3
1236,4
1237,1
1238,3
1239,1
1240,4
1241,4
1242,1
1243,1
1244,3
1245,3
1246,4
1247,1
1248,3
1249,1
1250,4
1251,3
1252,1
1253,3
1254,6
1255,1
1256,1
1257,4
1258,4
1259,1
1260,4
1261,1
1262,3
1263,3
1264,1
1265,4
1266,1
1267,1
1268,3
1269,1
1270,1
1271,4
1272,3
1273,4
1274,6
1275,1
1276,3
1277,3
1278,0
1279,3
1280,4
1281,1
1282,3
1283,4
1284,1
1285,3
1286,1
1287,6
1288,4
1289,3
1290,6
1291,1
1292,3
1293,4
1294,4
1295,6
1296,1
1297,1
1298,0
1299,6
1300,0
1301,3
1302,3
1303,3
1304,1
1305,6
1306,0
1307,4
1308,1
1309,4
1310,1
1311,4
1312,3
1313,3
1314,3
1315,3
1316,3
1317,0
1318,0
1319,4
1320,3
1321,3
1322,3
1323,6
1324,3
1325,1
1326,6
1327,4
1328,3
1329,1
1330,1
1331,6
1332,3
1333,1
1334,4
1335,3
1336,3
1337,0
1338,3
1339,4
1340,0
1341,6
1342,3
1343,3
1344,3
1345,3
1346,3
1347,1
1348,3
1349,3
1350,0
1351,4
1352,3
1353,3
1354,3
1355,3
1356,1
1357,0
1358,1
1359,3
1360,1
1361,1
1362,6
1363,3
1364,6
1365,3
1366,4
1367,0
1368,1
1369,3
1370,4
1371,1
1372,3
1373,3
1374,0
1375,3
1376,6
1377,4
1378,4
1379,3
1380,3
1381,4
1382,1
1383,4
1384,3
1385,3
1386,4
1387,4
1388,0
1389,4
1390,3
1391,1
1392,6
1393,0
1394,3
1395,6
1396,1
1397,0
1398,0
1399,1
1400,6
1401,1
1402,3
1403,4
1404,1
1405,3
1406,6
1407,4
1408,3
1409,3
1410,0
1411,3
1412,0
1413,6
1414,4
1415,6
1416,1
1417,3
1418,1
1419,1
1420,3
1421,6
1422,1
1423,4
1424,3
1425,3
1426,1
1427,6
1428,1
1429,3
1430,4
1431,5
1432,6
1433,3
1434,3
1435,3
1436,3
1437,4
1438,0
1439,3
1440,4
1441,3
1442,3
1443,3
1444,0
1445,4
1446,1
1447,3
1448,4
1449,3
1450,3
1451,3
1452,3
1453,1
1454,1
1455,3
1456,1
1457,3
1458,3
1459,3
1460,4
1461,3
1462,3
1463,3
1464,3
1465,4
1466,1
1467,1
1468,6
1469,4
1470,3
1471,3
1472,3
1473,3
1474,3
1475,1
1476,5
1477,3
1478,3
1479,1
1480,4
1481,1
1482,4
1483,1
1484,6
1485,3
1486,4
1487,3
1488,1
1489,6
1490,1
1491,4
1492,1
1493,6
1494,3
1495,3
1496,3
1497,3
1498,0
1499,6
1500,3
1501,1
1502,3
1503,3
1504,0
1505,6
1506,3
1507,0
1508,3
1509,0
1510,4
1511,4
1512,4
1513,3
1514,0
1515,1
1516,1
1517,4
1518,3
1519,3
1520,4
1521,3
1522,3
1523,1
1524,3
1525,3
1526,1
1527,3
1528,3
1529,2
1530,3
1531,3
1532,4
1533,1
1534,1
1535,6
1536,1
1537,1
1538,6
1539,1
1540,3
1541,4
1542,1
1543,1
1544,1
1545,4
1546,1
1547,3
1548,4
1549,3
1550,6
1551,3
1552,3
1553,3
1554,3
1555,6
1556,3
1557,6
1558,3
1559,3
1560,3
1561,6
1562,4
1563,4
1564,3
1565,4
1566,1
1567,3
1568,1
1569,1
1570,1
1571,0
1572,1
1573,3
1574,1
1575,3
1576,1
1577,3
1578,3
1579,3
1580,6
1581,4
1582,3
1583,1
1584,3
1585,5
1586,4
1587,0
1588,6
1589,4
1590,3
1591,6
1592,1
1593,3
1594,4
1595,4
1596,1
1597,4
1598,5
1599,3
1600,3
1601,1
1602,3
1603,4
1604,1
1605,4
1606,4
1607,3
1608,4
1609,6
1610,3
1611,4
1612,3
1613,4
1614,3
1615,3
1616,1
1617,3
1618,6
1619,3
1620,3
1621,0
1622,0
1623,4
1624,6
1625,0
1626,3
1627,3
1628,6
1629,3
1630,3
1631,3
1632,1
1633,3
1634,6
1635,6
1636,4
1637,4
1638,3
1639,4
1640,3
1641,3
1642,3
1643,1
1644,0
1645,6
1646,3
1647,3
1648,6
1649,1
1650,3
1651,0
1652,3
1653,0
1654,3
1655,1
1656,4
1657,1
1658,4
1659,4
1660,4
1661,0
1662,1
1663,3
1664,6
1665,6
1666,3
1667,3
1668,4
1669,4
1670,3
1671,3
1672,4
1673,4
1674,4
1675,4
1676,1
1677,0
1678,3
1679,3
1680,3
1681,1
1682,3
1683,4
1684,0
1685,4
1686,1
1687,0
1688,3
1689,3
1690,4
1691,1
1692,5
1693,1
1694,2
1695,3
1696,1
1697,3
1698,1
1699,1
1700,1
1701,3
1702,3
1703,6
1704,6
1705,4
1706,3
1707,3
1708,1
1709,1
1710,1
1711,3
1712,3
1713,3
1714,3
1715,4
1716,6
1717,1
1718,1
1719,1
1720,4
1721,0
1722,4
1723,3
1724,0
1725,1
1726,0
1727,1
1728,3
1729,1
1730,6
1731,3
1732,3
1733,6
1734,3
1735,4
1736,3
1737,4
1738,1
1739,0
1740,1
1741,6
1742,6
1743,3
1744,4
1745,4
1746,3
1747,3
1748,3
1749,1
1750,3
1751,4
1752,4
1753,3
1754,4
1755,1
1756,4
1757,3
1758,4
1759,3
1760,5
1761,4
1762,1
1763,0
1764,3
1765,1
1766,4
1767,4
1768,6
1769,1
1770,3
1771,1
1772,6
1773,3
1774,3
1775,1
1776,3
1777,1
1778,3
1779,1
1780,3
1781,1
1782,3
1783,4
1784,0
1785,6
1786,4
1787,3
1788,6
1789,3
1790,6
1791,3
1792,3
1793,1
1794,3
1795,0
1796,6
1797,3
1798,3
1799,3
1800,1
1801,3
1802,3
1803,1
1804,1
1805,3
1806,4
1807,4
1808,3
1809,1
1810,3
1811,4
1812,1
1813,1
1814,4
1815,6
1816,3
1817,4
1818,4
1819,6
1820,6
1821,4
1822,3
1823,6
1824,3
1825,3
1826,0
1827,1
1828,0
1829,1
1830,6
1831,3
1832,3
1833,1
1834,3
1835,6
1836,1
1837,0
1838,3
1839,6
1840,3
1841,1
1842,1
1843,6
1844,1
1845,3
1846,6
1847,1
1848,1
1849,0
1850,4
1851,3
1852,3
1853,4
1854,3
1855,3
1856,2
1857,0
1858,1
1859,1
1860,3
1861,1
1862,1
1863,0
1864,3
1865,3
1866,1
1867,4
1868,3
1869,4
1870,4
1871,1
1872,3
1873,3
1874,1
1875,1
1876,4
1877,1
1878,6
1879,3
1880,6
1881,3
1882,6
1883,3
1884,4
1885,4
1886,4
1887,1
1888,1
1889,3
1890,0
1891,4
1892,1
1893,1
1894,3
1895,3
1896,4
1897,6
1898,4
1899,4
1900,6
1901,3
1902,4
1903,3
1904,2
1905,4
1906,1
1907,4
1908,3
1909,1
1910,3
1911,3
1912,1
1913,1
1914,1
1915,6
1916,1
1917,3
1918,3
1919,3
1920,1
1921,1
1922,6
1923,4
1924,1
1925,1
1926,1
1927,3
1928,1
1929,0
1930,0
1931,4
1932,1
1933,4
1934,4
1935,3
1936,1
1937,1
1938,6
1939,3
1940,4
1941,4
1942,1
1943,3
1944,4
1945,4
1946,6
1947,0
1948,6
1949,0
1950,0
1951,4
1952,1
1953,4
1954,1
1955,0
1956,3
1957,0
1958,1
1959,1
1960,0
1961,0
1962,1
1963,4
1964,0
1965,3
1966,4
1967,3
1968,1
1969,3
1970,1
1971,3
1972,3
1973,1
1974,3
1975,4
1976,6
1977,1
1978,1
1979,1
1980,3
1981,1
1982,3
1983,3
1984,1
1985,3
1986,3
1987,3
1988,3
1989,3
1990,6
1991,3
1992,2
1993,3
1994,4
1995,4
1996,3
1997,6
1998,1
1999,1
2000,4
2001,4
2002,1
2003,2
2004,1
2005,4
2006,6
2007,4
2008,3
2009,1
2010,3
2011,0
2012,1
2013,4
2014,1
2015,0
2016,1
2017,3
2018,1
2019,6
2020,1
2021,4
2022,3
2023,6
2024,1
2025,3
2026,3
2027,3
2028,3
2029,6
2030,3
2031,1
2032,3
2033,4
2034,3
2035,3
2036,3
2037,4
2038,4
2039,4
2040,3
2041,3
2042,4
2043,1
2044,4
2045,4
2046,3
2047,3
2048,1
2049,4
2050,4
2051,3
2052,6
2053,3
2054,3
2055,4
2056,4
2057,3
2058,1
2059,1
2060,3
2061,1
2062,6
2063,1
2064,0
2065,1
2066,6
2067,0
2068,6
2069,0
2070,4
2071,3
2072,3
2073,3
2074,3
2075,3
2076,3
2077,0
2078,3
2079,6
2080,3
2081,3
2082,1
2083,3
2084,1
2085,6
2086,1
2087,0
2088,3
2089,0
2090,6
2091,0
2092,3
2093,1
2094,6
2095,4
2096,5
2097,6
2098,1
2099,3
2100,6
2101,6
2102,1
2103,1
2104,6
2105,6
2106,3
2107,4
2108,6
2109,3
2110,1
2111,3
2112,0
2113,3
2114,1
2115,1
2116,1
2117,3
2118,3
2119,1
2120,1
2121,3
2122,4
2123,4
2124,4
2125,5
2126,4
2127,3
2128,1
2129,0
2130,3
2131,6
2132,4
2133,3
2134,4
2135,3
2136,6
2137,3
2138,6
2139,4
2140,3
2141,1
2142,3
2143,6
2144,6
2145,1
2146,1
2147,3
2148,3
2149,1
2150,1
2151,3
2152,4
2153,1
2154,1
2155,1
2156,3
2157,1
2158,3
2159,0
2160,1
2161,1
2162,3
2163,0
2164,4
2165,3
2166,6
2167,4
2168,3
2169,1
2170,3
2171,6
2172,3
2173,3
2174,3
2175,3
2176,1
2177,1
2178,1
2179,3
2180,3
2181,1
2182,4
2183,6
2184,1
2185,3
2186,3
2187,1
2188,3
2189,1
2190,3
2191,3
2192,4
2193,3
2194,0
2195,3
2196,3
2197,6
2198,6
2199,0
2200,1
2201,6
2202,3
2203,3
2204,3
2205,1
2206,2
2207,3
2208,3
2209,3
2210,1
2211,3
2212,0
2213,0
2214,6
2215,1
2216,0
2217,4
2218,0
2219,1
2220,3
2221,4
2222,1
2223,1
2224,3
2225,3
2226,3
2227,3
2228,1
2229,3
2230,4
2231,4
2232,4
2233,3
2234,6
2235,3
2236,3
2237,6
2238,1
2239,1
2240,3
2241,4
2242,1
2243,3
2244,4
2245,4
2246,1
2247,3
2248,3
2249,1
2250,6
2251,3
2252,0
2253,3
2254,3
2255,3
2256,1
2257,4
2258,6
2259,4
2260,4
2261,3
2262,3
2263,4
2264,1
2265,3
2266,1
2267,3
2268,3
2269,6
2270,3
2271,4
2272,6
2273,3
2274,6
2275,3
2276,3
2277,1
2278,0
2279,0
2280,4
2281,1
2282,1
2283,1
2284,3
2285,6
2286,6
2287,3
2288,3
2289,4
2290,3
2291,4
2292,0
2293,3
2294,3
2295,3
2296,1
2297,0
2298,6
2299,4
2300,1
2301,3
2302,6
2303,3
2304,1
2305,0
2306,3
2307,3
2308,1
2309,3
2310,4
2311,1
2312,1
2313,3
2314,3
2315,3
2316,3
2317,1
2318,0
2319,3
2320,4
2321,0
2322,3
2323,6
2324,1
2325,1
2326,1
2327,1
2328,4
2329,6
2330,3
2331,3
2332,3
2333,3
2334,1
2335,3
2336,3
2337,3
2338,3
2339,4
2340,6
2341,3
2342,1
2343,0
2344,1
2345,6
2346,1
2347,1
2348,1
2349,3
2350,3
2351,1
2352,3
2353,1
2354,3
2355,4
2356,1
2357,3
2358,1
2359,2
2360,3
2361,4
2362,1
2363,3
2364,3
2365,1
2366,1
2367,1
2368,1
2369,4
2370,6
2371,3
2372,4
2373,4
2374,3
2375,3
2376,4
2377,6
2378,1
2379,4
2380,3
2381,3
2382,0
2383,4
2384,1
2385,1
2386,3
2387,6
2388,0
2389,3
2390,3
2391,3
2392,0
2393,6
2394,1
2395,3
2396,4
2397,1
2398,3
2399,6
2400,3
2401,3
2402,1
2403,3
2404,6
2405,3
2406,3
2407,1
2408,6
2409,3
2410,3
2411,0
2412,4
2413,3
2414,3
2415,3
2416,1
2417,3
2418,0
2419,3
2420,4
2421,4
2422,3
2423,4
2424,6
2425,3
2426,3
2427,3
2428,3
2429,3
2430,3
2431,3
2432,4
2433,6
2434,4
2435,4
2436,3
2437,0
2438,3
2439,6
2440,6
2441,3
2442,4
2443,1
2444,3
2445,3
2446,3
2447,1
2448,1
2449,3
2450,4
2451,3
2452,3
2453,6
2454,3
2455,6
2456,6
2457,3
2458,3
2459,4
2460,0
2461,4
2462,3
2463,3
2464,3
2465,0
2466,1
2467,6
2468,3
2469,3
2470,4
2471,6
2472,6
2473,4
2474,1
2475,1
2476,1
2477,3
2478,3
2479,1
2480,4
2481,4
2482,6
2483,3
2484,3
2485,1
2486,0
2487,1
2488,1
2489,3
2490,1
2491,3
2492,3
2493,3
2494,3
2495,3
2496,4
2497,0
2498,0
2499,3
2500,1
2501,3
2502,1
2503,6
2504,1
2505,6
2506,3
2507,1
2508,5
2509,4
2510,1
2511,0
2512,3
2513,3
2514,6
2515,1
2516,3
2517,3
2518,1
2519,3
2520,4
2521,3
2522,3
2523,3
2524,4
2525,1
2526,3
2527,1
2528,1
2529,6
2530,3
2531,4
2532,3
2533,4
2534,6
2535,4
2536,1
2537,1
2538,6
2539,3
2540,1
2541,4
2542,1
2543,3
2544,3
2545,3
2546,3
2547,1
2548,3
2549,6
2550,3
2551,1
2552,3
2553,6
2554,6
2555,3
2556,4
2557,6
2558,3
2559,0
2560,4
2561,6
2562,4
2563,0
2564,1
2565,1
2566,6
2567,3
2568,1
2569,1
2570,6
2571,1
2572,6
2573,3
2574,1
2575,3
2576,1
2577,1
2578,6
2579,4
2580,1
2581,1
2582,6
2583,4
2584,0
2585,3
2586,6
2587,1
2588,1
2589,3
2590,3
2591,3
2592,3
2593,3
2594,6
2595,3
2596,1
2597,6
2598,4
2599,3
2600,1
2601,3
2602,1
2603,3
2604,1
2605,0
2606,1
2607,3
2608,3
2609,3
2610,3
2611,3
2612,4
2613,0
2614,1
2615,3
2616,1
2617,1
2618,4
2619,4
2620,1
2621,1
2622,1
2623,3
2624,6
2625,3
2626,3
2627,1
2628,3
2629,3
2630,4
2631,3
2632,3
2633,1
2634,3
2635,1
2636,6
2637,1
2638,3
2639,3
2640,3
2641,1
2642,3
2643,3
2644,4
2645,0
2646,0
2647,1
2648,6
2649,3
2650,4
2651,4
2652,1
2653,6
2654,1
2655,4
2656,3
2657,6
2658,3
2659,1
2660,1
2661,1
2662,0
2663,3
2664,3
2665,3
2666,6
2667,1
2668,1
2669,4
2670,3
2671,3
2672,1
2673,6
2674,1
2675,4
2676,6
2677,0
2678,1
2679,3
2680,1
2681,3
2682,3
2683,6
2684,1
2685,3
2686,3
2687,1
2688,4
2689,3
2690,4
2691,3
2692,1
2693,3
2694,3
2695,1
2696,3
2697,3
2698,4
2699,4
2700,1
2701,2
2702,1
2703,3
2704,3
2705,4
2706,3
2707,4
2708,4
2709,1
2710,6
2711,3
2712,3
2713,1
2714,3
2715,6
2716,3
2717,3
2718,0
2719,1
2720,1
2721,6
2722,3
2723,1
2724,3
2725,3
2726,3
2727,3
2728,4
2729,1
2730,6
2731,6
2732,4
2733,0
2734,3
2735,4
2736,3
2737,1
2738,3
2739,1
2740,0
2741,3
2742,3
2743,3
2744,6
2745,6
2746,4
2747,3
2748,1
2749,4
2750,1
2751,6
2752,1
2753,4
2754,3
2755,3
2756,4
2757,2
2758,6
2759,4
2760,3
2761,4
2762,2
2763,1
2764,6
2765,0
2766,3
2767,4
2768,1
2769,1
2770,1
2771,4
2772,6
2773,1
2774,1
2775,1
2776,3
2777,6
2778,3
2779,3
2780,3
2781,0
2782,1
2783,3
2784,3
2785,1
2786,4
2787,4
2788,1
2789,6
2790,6
2791,4
2792,3
2793,1
2794,3
2795,6
2796,4
2797,1
2798,0
2799,4
2800,1
2801,3
2802,1
2803,1
2804,1
2805,6
2806,3
2807,1
2808,5
2809,3
2810,1
2811,4
2812,1
2813,1
2814,6
2815,1
2816,3
2817,3
2818,4
2819,1
2820,6
2821,3
2822,6
2823,1
2824,3
2825,1
2826,3
2827,3
2828,4
2829,1
2830,1
2831,3
2832,1
2833,1
2834,3
2835,3
2836,1
2837,1
2838,1
2839,4
2840,3
2841,1
2842,1
2843,1
2844,4
2845,3
2846,1
2847,3
2848,4
2849,4
2850,1
2851,0
2852,6
2853,3
2854,4
2855,1
2856,1
2857,4
2858,3
2859,4
2860,1
2861,4
2862,1
2863,3
2864,3
2865,3
2866,6
2867,3
2868,6
2869,4
2870,4
2871,4
2872,3
2873,4
2874,3
2875,3
2876,3
2877,4
2878,3
2879,1
2880,3
2881,4
2882,0
2883,4
2884,3
2885,6
2886,1
2887,0
2888,6
2889,6
2890,1
2891,1
2892,4
2893,3
2894,4
2895,3
2896,3
2897,3
2898,6
2899,0
2900,6
2901,4
2902,3
2903,1
2904,3
2905,3
2906,1
2907,4
2908,1
2909,6
2910,4
2911,1
2912,1
2913,3
2914,4
2915,4
2916,1
2917,3
2918,1
2919,3
2920,1
2921,1
2922,3
2923,4
2924,3
2925,3
2926,3
2927,4
2928,4
2929,3
2930,4
2931,4
2932,0
2933,3
2934,4
2935,6
2936,6
2937,1
2938,6
2939,0
2940,0
2941,1
2942,3
2943,1
2944,3
2945,4
2946,1
2947,3
2948,1
2949,1
2950,6
2951,6
2952,0
2953,3
2954,1
2955,3
2956,3
2957,4
2958,3
2959,4
2960,4
2961,6
2962,3
2963,3
2964,3
2965,4
2966,1
2967,3
2968,3
2969,3
2970,1
2971,0
2972,0
2973,3
2974,1
2975,3
2976,3
2977,1
2978,3
2979,3
2980,3
2981,3
2982,0
2983,3
2984,3
2985,1
2986,1
2987,3
2988,3
2989,1
2990,3
2991,3
2992,0
2993,0
2994,4
2995,6
2996,4
2997,4
